codigo,tipo,cuenta,tipo_catalogo
1132009902,,Intereses y otros por cobrar - ME,4
1138,,INVERSIONES VENCIDAS,4
113801,,TÍTULOSVALORES CONSERVADOS PARA NEGOCIACIÓN,4
1138010101,,Emitidos por el BCR - ML,4
1138010102,,Emitidos por el BCR - ME,4
1138010201,,Emitidos por el Estado - ML,4
1138010202,,Emitidos por el Estado - ME,4
1138010301,,Emitidos por empresas privadas - ML,4
1138010302,,Emitidos por empresas privadas - ME,4
1138010501,,Emitidos por bancos - ML,4
1138010502,,Emitidos por bancos - ME,4
1138010601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1138010602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1138010701,,Emitidos por instituciones extranjeras - ML,4
1138010702,,Emitidos por instituciones extranjeras - ME,4
1138010801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1138010802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1138019901,,Intereses y otros por cobrar - ML,4
1138019902,,Intereses y otros por cobrar - ME,4
113802,,TÍTULOSVALORES PARA CONSERVARSE HASTA EL VENCIMIENTO,4
1138020101,,Emitidos por el BCR - ML,4
1138020102,,Emitidos por el BCR - ME,4
1138020201,,Emitidos por el Estado - ML,4
1138020202,,Emitidos por el Estado - ME,4
1138020301,,Emitidos por empresas privadas - ML,4
1138020302,,Emitidos por empresas privadas - ME,4
1138020501,,Emitidos por bancos - ML,4
1138020502,,Emitidos por bancos - ME,4
1138020601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1138020602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1138020701,,Emitidos por instituciones extranjeras - ML,4
1138020702,,Emitidos por instituciones extranjeras - ME,4
1138020801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1138020802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1138029901,,Intereses y otros por cobrar - ML,4
1138029902,,Intereses y otros por cobrar - ME,4
113803,,TÍTULOSVALORES DISPONIBLES PARA VENTA,4
1138030101,,Emitidos por el BCR - ML,4
1138030102,,Emitidos por el BCR - ME,4
1138030201,,Emitidos por el Estado - ML,4
1138030202,,Emitidos por el Estado - ME,4
1138030301,,Emitidos por empresas privadas - ML,4
1138030302,,Emitidos por empresas privadas - ME,4
1138030501,,Emitidos por bancos - ML,4
1138030502,,Emitidos por bancos - ME,4
1138030601,,Emitidos por otras entidades del Sistema Financiero - ML,4
1138030602,,Emitidos por otras entidades del Sistema Financiero - ME,4
1138030701,,Emitidos por instituciones extranjeras - ML,4
1138030702,,Emitidos por instituciones extranjeras - ME,4
1138030801,,Emitidos por el Instituto de Garantía de Depósitos - ML,4
1138030802,,Emitidos por el Instituto de Garantía de Depósitos - ME,4
1138039901,,Intereses y otros por cobrar - ML,4
1138039902,,Intereses y otros por cobrar - ME,4
1139,,PROVISIÓN PARA VALUACIÓN DE INVERSIONES,4
113900,,PROVISIÓN PARA VALUACIÓN DE INVERSIONES,4
1139000001,,Provisión para valuación de inversiones - ML,4
1139000002,,Provisión para valuación de inversiones -ME,4
114,,PRÉSTAMOS,4
1141,,PRÉSTAMOS PACTADOS HASTA UN AÑO PLAZO,4
114102,,PRÉSTAMOS A ENTIDADES DEL ESTADO,4
1141020101,,Otorgamientos originales - ML,4
1141020102,,Otorgamientos originales - ME,4
1141020201,,Refinanciados - ML,4
1141020202,,Refinanciados - ME,4
1141020301,,Reestructurados - ML,4
1141020302,,Reestructurados - ME,4
1141029901,,Intereses y otros por cobrar - ML,4
1141029902,,Intereses y otros por cobrar - ME,4
114103,,PRÉSTAMOS A EMPRESAS PRIVADAS,4
1141030101,,Otorgamientos originales - ML,4
1141030102,,Otorgamientos originales - ME,4
1141030201,,Refinanciados - ML,4
1141030202,,Refinanciados - ME,4
1141030301,,Reestructurados - ML,4
1141030302,,Reestructurados - ME,4
1141039901,,Intereses y otros por cobrar - ML,4
1141039902,,Intereses y otros por cobrar - ME,4
114104,,PRÉSTAMOS A PARTICULARES,4
1141040101,,Otorgamientos originales - ML,4
1141040102,,Otorgamientos originales - ME,4
1141040201,,Refinanciados - ML,4
1141040202,,Refinanciados - ME,4
1141040301,,Reestructurados - ML,4
1141040302,,Reestructurados - ME,4
1141049901,,Intereses y otros por cobrar - ML,4
1141049902,,Intereses y otros por cobrar - ME,4
114105,,PRÉSTAMOS A BANCOS,4
1141050101,,Para cubrir déficit de caja - ML,4
1141050102,,Para cubrir déficit de caja - ME,4
1141050301,,Préstamos convertibles en acciones - ML,4
1141050302,,Préstamos convertibles en acciones - ME,4
1141059901,,Intereses y otros por cobrar - ML,4
1141059902,,Intereses y otros por cobrar - ME,4
114106,,PRÉSTAMOS A OTRAS ENTIDADES DEL SISTEMA,4
1141060101,,Otorgamientos originales - ML,4
1141060102,,Otorgamientos originales - ME,4
1141060201,,Refinanciados - ML,4
1141060202,,Refinanciados - ME,4
1141060301,,Reestructurados - ML,4
1141060302,,Reestructurados - ME,4
1141069901,,Intereses y otros por cobrar - ML,4
1141069902,,Intereses y otros por cobrar - ME,4
114107,,PRÉSTAMOS A AGENCIAS Y SUBSIDIARIAS EN EL EXTRANJERO,4
1141070101,,Otorgamientos originales - ML,4
1141070102,,Otorgamientos originales - ME,4
1141070201,,Refinanciados - ML,4
1141070202,,Refinanciados - ME,4
1141070301,,Reestructurados - ML,4
1141070302,,Reestructurados - ME,4
1141079901,,Intereses y otros por cobrar - ML,4
1141079902,,Intereses y otros por cobrar - ME,4
114108,,PRÉSTAMOS A EMPRESAS NO DOMICILIADAS,4
1141080101,,Otorgamientos originales - ML,4
1141080102,,Otorgamientos originales - ME,4
1141080201,,Refinanciados - ML,4
1141080202,,Refinanciados - ME,4
1141080301,,Reestructurados - ML,4
1141080302,,Reestructurados - ME,4
1141089901,,Intereses y otros por cobrar - ML,4
1141089902,,Intereses y otros por cobrar - ME,4
114199,,DESEMBOLSOS Y RECUPERACIONES POR APLICAR,4
1141990101,,Desembolsos por aplicar - ML,4
1141990102,,Desembolsos por aplicar- ME,4
1141990201,,Recuperaciones por aplicar - ML,4
1141990202,,Recuperaciones por aplicar - ME,4
1142,,PRÉSTAMOS PACTADOS A MÁS DE UN AÑO PLAZO,4
114202,,PRÉSTAMOS A ENTIDADES DEL ESTADO,4
1142020101,,Otorgamientos originales - ML,4
1142020102,,Otorgamientos originales - ME,4
1142020201,,Refinanciados - ML,4
1142020202,,Refinanciados - ME,4
1142020301,,Reestructurados - ML,4
1142020302,,Reestructurados - ME,4
1142029901,,Intereses y otros por cobrar - ML,4
1142029902,,Intereses y otros por cobrar - ME,4
114203,,PRÉSTAMOS A EMPRESAS PRIVADAS,4
1142030101,,Otorgamientos originales - ML,4
1142030102,,Otorgamientos originales - ME,4
1142030201,,Refinanciados - ML,4
1142030202,,Refinanciados - ME,4
1142030301,,Reestructurados - ML,4
1142030302,,Reestructurados - ME,4
1142039901,,Intereses y otros por cobrar - ML,4
1142039902,,Intereses y otros por cobrar - ME,4
114204,,PRÉSTAMOS A PARTICULARES,4
1142040101,,Otorgamientos originales - ML,4
1142040102,,Otorgamientos originales - ME,4
1142040201,,Refinanciados - ML,4
1142040202,,Refinanciados - ME,4
1142040301,,Reestructurados - ML,4
1142040302,,Reestructurados - ME,4
